file_name,file_extension,file_size,file_entropy
059.html.wcry,wcry,3104,7.9460052889009285
048.pdf.wcry,wcry,3392,7.944577421003048
049.pdf.wcry,wcry,3248,7.953829762262911
084.doc.wcry,wcry,2000,7.903172642009197
000.wav.wcry,wcry,1408064,7.9546478873443975
090.xml.wcry,wcry,2640,7.929606667292094
008.jpg.wcry,wcry,413312,7.953971745467714
009.jpg.wcry,wcry,408416,7.954441254125892
086.docx.wcry,wcry,37520,7.928403437478461
042.pdf.wcry,wcry,3360,7.954233221134313
043.pdf.wcry,wcry,3168,7.946205575148759
013.png.wcry,wcry,485968,7.953571265870741
061.html.wcry,wcry,3792,7.947777679080236
002.mp3.wcry,wcry,1280064,7.9546402968227
034.tsv.wcry,wcry,1040,7.807428165349259
067.html.wcry,wcry,2976,7.93920504316092
055.pdf.wcry,wcry,2704,7.933093351901968
054.pdf.wcry,wcry,3024,7.940877301245786
036.json.wcry,wcry,1360,7.87696099650962
021.webp.wcry,wcry,491424,7.955224743319651
012.jpg.wcry,wcry,341536,7.953087808749031
033.tsv.wcry,wcry,1008,7.80260919246799
058.html.wcry,wcry,3008,7.93258215251285
032.xlsx.wcry,wcry,5072,7.876991394881254
052.pdf.wcry,wcry,2928,7.938564555193688
053.pdf.wcry,wcry,3296,7.939722567140779
087.docx.wcry,wcry,37648,7.931688531945822
060.html.wcry,wcry,3728,7.951671019968819
005.jpg.wcry,wcry,421104,7.954632573459088
091.log.wcry,wcry,2400,7.924434949341932
083.doc.wcry,wcry,2496,7.9348470994074844
082.doc.wcry,wcry,1904,7.907096636042138
038.pdf.wcry,wcry,3408,7.942322911632747
039.pdf.wcry,wcry,2672,7.929400875479805
026.csv.wcry,wcry,736,7.708994711129061
027.csv.wcry,wcry,1216,7.866312535275584
014.png.wcry,wcry,519408,7.954351487081749
015.png.wcry,wcry,511664,7.954383126656996
066.html.wcry,wcry,3744,7.94281747294415
076.txt.wcry,wcry,3280,7.940862977395771
077.txt.wcry,wcry,3984,7.942970121994314
045.pdf.wcry,wcry,3328,7.939720731019975
044.pdf.wcry,wcry,3168,7.943852491747153
031.xlsx.wcry,wcry,5600,7.920233417724207
056.pdf.wcry,wcry,3120,7.9458389220267955
003.aac.wcry,wcry,1728064,7.954455739418836
098.doc.zip.wcry,zip,1184,7.847691965700178
063.html.wcry,wcry,2688,7.932488545107864
001.mp3.wcry,wcry,512064,7.936610748905294
094.mp4.wcry,wcry,115216,7.943086574427741
041.pdf.wcry,wcry,2976,7.940521048407716
040.pdf.wcry,wcry,2528,7.924177413698957
072.txt.wcry,wcry,4112,5.856554031600897
073.txt.wcry,wcry,2368,7.930975587024204
022.csv.wcry,wcry,992,7.7839832285646615
023.csv.wcry,wcry,944,7.788730820758283
037.pdf.wcry,wcry,2672,7.918636446427884
068.html.wcry,wcry,2848,7.935613814112208
096.xlsx.zip.wcry,zip,5152,7.89695525281821
028.csv.wcry,wcry,864,7.803517665990613
078.txt.wcry,wcry,3232,7.944129638426631
079.txt.wcry,wcry,3360,7.941202948458589
020.bmp.wcry,wcry,413616,7.954952616908834
065.html.wcry,wcry,3312,7.934962410267108
071.html.wcry,wcry,3200,7.941061536562768
095.mov.wcry,wcry,105760,7.95328503709526
004.flac.wcry,wcry,384064,7.95448297250046
017.png.wcry,wcry,606416,7.947331653702148
016.png.wcry,wcry,466272,7.954896170932995
030.xlsx.wcry,wcry,5536,7.898282732431813
025.csv.wcry,wcry,96,6.215069599074024
024.csv.wcry,wcry,912,7.757694462803071
046.pdf.wcry,wcry,3536,7.9498282974815275
047.pdf.wcry,wcry,3184,7.935518654211371
075.txt.wcry,wcry,2864,7.937802225506668
074.txt.wcry,wcry,3920,7.95572567261196
088.docx.wcry,wcry,37568,7.927976758161506
029.xlsx.wcry,wcry,5856,7.925643246160423
006.jpg.wcry,wcry,437696,7.95499168320591
062.html.wcry,wcry,3088,7.936596674049326
007.jpg.wcry,wcry,364880,7.948077522416467
080.doc.wcry,wcry,2288,7.901419714345961
081.doc.wcry,wcry,2192,7.911130755989941
097.html.zip.wcry,zip,2048,7.901281769982034
057.html.wcry,wcry,2864,7.935123568463515
085.docx.wcry,wcry,37728,7.936205436756299
051.pdf.wcry,wcry,3104,7.942100148301304
050.pdf.wcry,wcry,3152,7.942275659633868
019.gif.wcry,wcry,521856,7.95367302967823
018.gif.wcry,wcry,530592,7.954386261328391
089.xml.wcry,wcry,1888,7.895708561755849
069.html.wcry,wcry,3024,7.932641522653791
099.mp4.zip.wcry,zip,117328,7.953022524895108
011.jpg.wcry,wcry,446688,7.945799455267333
010.jpg.wcry,wcry,341344,7.953172786025871
070.html.wcry,wcry,3776,7.949830234365368
035.json.wcry,wcry,1440,7.872682152676266
092.mp4.wcry,wcry,79744,7.9523130666646695
093.mp4.wcry,wcry,155680,7.876445892516112
064.html.wcry,wcry,3280,7.947571113158235
